company,investor
Ant Financial,Primavera
Didi Chuxing,Tencent
Xiaomi,IDG
Toutiao,Sequoia
Meituan Dianping,Tencent
Tencent Music,Sequoia
Cainiao,GIC
DJI,Accel
JD Finance,Sequoia
Kuaishou,Sequoia
Lufax,Morgan Stanley
JD Logistics,Hillhouse
Bitmain,Sequoia
Pinduoduo,Tencent
Koubei,Alibaba
Ping An Healthcare Technology,IDG
OneConnect,undisclosed
Homelink,Sunac
Manbang,Tencent
UCAR,YF Capital
WeBank,Warburg Pincus
BJEV,Cinda
United Imaging,China Life
Meizu,Telling
Royole,CITICPE
SenseTime,CDH
Suning Finance,Everbright
WM Motor,Envision
We Doctor,Sequoia
NextEV,Hillhouse
Ubtech,Qiming
Face++,Qiming
ofo,Shunwei
VIPKID,YF Capital
Cars,Sequoia
Dadi Digital Cinema,Alibaba Pictures
Douyu,Sequoia
Henlius,HG Capital
Huitongda,Addor
Canaan,Jin Jiang Group
JiuXian,Sequoia
Maoyan,Enlight Media
Meicai,Shunwei
Meili,Tencent
Singulato,GX Capital
Tongcheng,Wanda
Himalaya,SIG
Xiaohongshu,Tencent
Yixia,Sina
Yiguo,Alibaba
China UMS,Everbright-IDG
Ziroom,Warburg Pincus
APUS,SIG
Pingpong,GF Xinde Investment
Aiways,undisclosed
Byton,FAW
Babytree,Qianhe Capital
Caocao,undisclosed
CGTZ,Shunwei
Chehejia,LEO
Souche,Morningside
Hellobike,GGV Capital
Kidswant,Warburg Pincus
Cambricon,SDIC
Huimin,West Capital
Jiemian,Kunlun Trust
Ksyun,IDG
Lakala,Legend Capital
lvmama,Sequoia
Mgtv,New Alliance
missfresh,GX Capital
Mia,Baidu
Jia,CDH Investments
Qutoutiao,Tencent
Suning Sports,Goldman Sachs
Taobao Dianying,Ant Financial
IMS,Sina
Tujia,Ctrip
Tubatu,Sequoia
TDW,Minsheng Capital
Weidian,Tencent
Whaley,Tencent
Xiaopeng,Morningside
Innovent Bio,SDIC
YITU,YF Capital
Ebang,undisclosed
Hero Entertainment,Huayi Bros
UrWork,ZhenFund
Cloudwalk,Shunwei
Zhaogang,IDG
Zbj,Cybernaut
Alisports,YF Capital
Ane,Sequoia
New Dada,Sequoia
Fcbox,SF Express
Haodf,Trustbridge
Huayun,SIG
Loji,IDG
Ninebot,Sequoia
NetEase Music,SMG
Weidai,China Securities
Easy Life,HNA Tourism
ETCP,Wanda
U51,SIG
Daojia,Alibaba
DotC United,Gaorong Capital
iTutorGroup,Qiming
Beibei,IDG
Chunyuyisheng,BlueRun Ventures
Fanli,SIG
FangDD,VKC
Hujiang,HINA
Luojilab,Shunwei
Mofang,AVIC Trust
Novogene,CMB International
Renrendai,Trustbridge
Shouqi,Baidu Capital
Dtdream,Alibaba
Icarbonx,Tianfu Group
TalkingData,SBCVC
Tuhu,Hillhouse
WiFi Master key,HTCC
Youdao,Legend Capital
Womai,IDG
yMatou,Telescope Investment
Yaochufa,uzai
Inke,duomi
Unisound,Qiming
Zhihu,Capital Today
V Linker,Warburg Pincus
Iwjw,Temasek
Orbbec,Ant Financial
Boqii,Goldman Sachs
Chemao,ZHEFU Holding
Cheyipai,BAIC Capital
Chezhibao,JD Capital
Touchpal,Qiming
Dianrong,Tiger Global
Dxy,Shunwei
Fxiaoke,DCM
Futu,Sequoia
Cstone,GIC
Geo,GSR Ventures
9fgroup,Morningside
Juanpi,Tiantu Capital
Lamabang,Matrix Partners China
Renrenche,Goldman Sachs
Sinocelltech,Qiming
Tongdun,IDG
Weimob,Meridian
xiaozhu,Joy Capital
Yidianzixun,Phoenix
17zuoye,ZhenFund
UCloud,DCM
Yooli,Hillhouse
Yuanfudao,IDG
YH Global,Yonghua Capital
Yunniao,Warburg Pincus
Jollycorp,Sequoia
Smartmi,Shunwei
Zhuanzhuan,Tencent
Zuoyebang,GGV
Ant Financial,CIC
Didi Chuxing,Alibaba
Xiaomi,Qiming
Toutiao,SIG
Meituan Dianping,Sequoia
Cainiao,Temasek
DJI,Sequoia
JD Finance,Harvest Investments
Kuaishou,Morningside
Lufax,BOCGI
JD Logistics,Sequoia
Bitmain,IDG
Pinduoduo,Sequoia
Koubei,CDH Investments
Ping An Healthcare Technology,SBI
Homelink,Vanke
Manbang,Sequoia
UCAR,CICC
WeBank,Temasek
BJEV,Zhongji
United Imaging,SDIC
Meizu,Alibaba
Royole,Co-Stone
SenseTime,IDG
Suning Finance,SCGC
WM Motor,Sequoia
We Doctor,Goldman Sachs
NextEV,Tencent
Ubtech,Iflytek
Face++,Legend Star
ofo,Matrix Partners China
VIPKID,Sequoia
Cars,Capital Today
Douyu,Tencent
Huitongda,Redbud Capital
Canaan,Tunlan
JiuXian,OFC
Maoyan,meituan
Meicai,Blue Lake Capital
Meili,Qiming
Singulato,Qihoo
Tongcheng,Tencent
Himalaya,Sierra Ventures
Xiaohongshu,Genesis
Yixia,Redpoint Ventures
Yiguo,Goldman Sachs
China UMS,IDG
Ziroom,Sequoia
APUS,Qiming
Pingpong,Tsinghua Holdings
Byton,Tus-Holdings
Babytree,Matrix Partners China
CGTZ,CMG
Chehejia,Source Code Capital
Souche,Sequoia
Hellobike,Grains valley venture capital
Kidswant,Greenwoods Investment
Cambricon,Alibaba
Huimin,SinoGuarantee
Ksyun,Kingsoft
Lakala,Fooshin
lvmama,CDH Venture
Mgtv,Shanghai Guohe Capital
missfresh,Tencent
Mia,Sequoia
Jia,Baidu
Qutoutiao,B&D Capital
Taobao Dianying,CDH Investments
IMS,SAIF
Tujia,GGV Capital
Tubatu,Matrix Partners China
Weidian,Warburg Pincus
Whaley,CMC Capital Partners
Xiaopeng,IDG
Innovent Bio,Legend Capital
YITU,Sequoia
Hero Entertainment,Sequoia
UrWork,Sequoia
Cloudwalk,Oriza
Zhaogang,Matrix Partners China
Zbj,IDG
Alisports,Taiping Asset
Ane,Carlyle
New Dada,DST
Fcbox,CDH Investments
Haodf,CRCI
Huayun,Intel Capital
Loji,ZhenFund
Ninebot,Xiaomi
Weidai,Hakim
Easy Life,H-capital
ETCP,Matrix Partners China
U51,Tiantu Capital
Daojia,KKR
DotC United,Lightspeed China Partners
iTutorGroup,GIC
Beibei,Northern Light
Chunyuyisheng,Bertelsmann
Fanli,Qiming
FangDD,Lightspeed China Partners
Hujiang,SoftBank
Luojilab,Qiming
Mofang,Warburg Pincus
Novogene,SDIC
Shouqi,NIO Capital
Dtdream,Yinxinggu Capital
Icarbonx,China Bridge Capital
TalkingData,Milestone Capital
Tuhu,Qiming
WiFi Master key,Northern Light
Womai,SAIF
yMatou,SAIF
Yaochufa,Sequoia
Inke,GSR Ventures
Unisound,Qualcomm
Zhihu,Qiming
Iwjw,Hillhouse
Orbbec,SAIF
Boqii,Jafco Asia
Chemao,Vision+ Capital
Cheyipai,Matrix Partners China
Chezhibao,Addor
Touchpal,HG Capital
Dianrong,Northern Light
Dxy,DCM
Fxiaoke,Northern Light
Futu,Matrix Partners China
Cstone,Sequoia
Geo,Sina
9fgroup,DCM
Juanpi,CMB International
Lamabang,Morningside
Renrenche,Tencent
Tongdun,CGC
Weimob,HNA Capital
xiaozhu,Bertelsmann
Yidianzixun,Xiaomi
17zuoye,Shunwei
UCloud,Bertelsmann
Yooli,Morningside
Yuanfudao,Matrix Partners China
YH Global,HNF
Yunniao,Sequoia
Jollycorp,Legend Capital
Smartmi,GIC
Zuoyebang,H Capital
Ant Financial,Sequoia
Didi Chuxing,Sequoia
Xiaomi,Morningside
Toutiao,CCB International
Meituan Dianping,Capital Today
Cainiao,Primavera
DJI,Maison Capital
JD Finance,China Taiping
Kuaishou,Baidu
Lufax,GTJA (Hong Kong)
JD Logistics,Tencent
Pinduoduo,IDG
Koubei,Yinhu
Ping An Healthcare Technology,SoftBank
Homelink,Tencent
Manbang,Lightspeed China Partners
BJEV,Guoxuan
Meizu,HTCC
Royole,IDG
SenseTime,CICC
We Doctor,Tencent
NextEV,Sequoia
Ubtech,CDH Investments
Face++,CCB International
ofo,Didi
VIPKID,ZhenFund
Cars,IDG
Douyu,Nanshan Capital
Huitongda,Shunwei
Maoyan,Tencent
Meicai,ZhenFund
Meili,IDG
Tongcheng,Citic Capital
Himalaya,Qianhai Xingwang
Xiaohongshu,ZhenFund
Yixia,Sequoia
Ziroom,Tencent
Pingpong,Fidelity
Byton,CATL
Babytree,Chenshan Capital
Chehejia,FutureCap
Souche,Alibaba
Hellobike,Joy Capital
Kidswant,Hillhouse
Cambricon,Lenovo Capital
Ksyun,Xiaomi
Lakala,Morningside
Mgtv,C&D
missfresh,ZSVC
Mia,ZhenFund
Qutoutiao,Shunwei
Taobao Dianying,Sina
IMS,Morgan Stanley
Tujia,Qiming
Tubatu,58
Weidian,Matrix Partners China
Xiaopeng,Matrix Partners China
Innovent Bio,Temasek
YITU,ZhenFund
Hero Entertainment,ZhenFund
Cloudwalk,Qianhai Xingwang
Zhaogang,Sequoia
Ane,Goldman Sachs
New Dada,JD
Fcbox,CDBC
Haodf,DCM China
Huayun,HTCC
Ninebot,Shunwei
Weidai,Shanda Capital
ETCP,SIG
U51,Harvest Investments
Daojia,Ping An Ventures
DotC United,Morningside
iTutorGroup,Goldman Sachs
Beibei,Capital Today
Chunyuyisheng,CICC
Fanli,Lotte
FangDD,CDH Venture
Hujiang,Shunwei
Luojilab,ZhenFund
Mofang,DT Capital Partners
Novogene,Sigma Square Capital
TalkingData,Northern Light
Tuhu,Legend Capital
Womai,Baidu
yMatou,SIG
Inke,PurpleSky
Zhihu,Tencent
Iwjw,Morningside
Orbbec,Green Pine Capital Partners
Boqii,DL Capitals
Cheyipai,Morningside
Touchpal,Sequoia
Dianrong,GIC
Dxy,Tencent
Fxiaoke,IDG
Futu,Tencent
Cstone,YF Capital
Geo,AsiaInfo
9fgroup,SIG
Juanpi,Zhejiang Jinkong
Renrenche,Didi
Tongdun,CBC
Weimob,FTZ Fund
xiaozhu,Legend Capital
Yidianzixun,IDG
17zuoye,Tiger
UCloud,Legend Capital
Yooli,SBCVC
Yuanfudao,Tencent
YH Global,Stone Capital
Yunniao,Matrix Partners China
Jollycorp,CDH Investments
Zuoyebang,Sequoia
Didi Chuxing,Matrix Partners China
Xiaomi,Shunwei
Meituan Dianping,IDG
Kuaishou,Tencent
Homelink,Matrix Partners China
Manbang,Hillhouse
We Doctor,Qiming
NextEV,IDG
Ubtech,Tencent
Face++,Ant Financial
ofo,ZhenFund
VIPKID,Tencent
Cars,Matrix Partners China
Meili,Sequoia
Yixia,Morningside
Hellobike,Ant Financial
Xiaopeng,Shunwei
Innovent Bio,Hillhouse
YITU,Hillhouse
Zhaogang,ZhenFund
Luojilab,Sequoia
Tuhu,Sequoia
Iwjw,Shunwei
Fxiaoke,Hillhouse
Renrenche,Shunwei
Tongdun,Qiming
xiaozhu,Morningside
Meituan Dianping,Hillhouse
We Doctor,Hillhouse
NextEV,Shunwei
VIPKID,Matrix Partners China
Xiaopeng,Alibaba
Luojilab,Tencent
